title,date,contributors,slug,images,videos,proteins,products,topics,regions,flags,directory,description,body,ID,image_caption,link,resource_type
"Food production in space from CO2 using microbial electrosynthesis",2022-12-24T07:42:24-0500,,/research/food-production-space-co2-using-microbial-electrosynthesis,,,Microbial,Ingredients,Sci-Tech,International,,,"The current food method in space is launching prepackaged food which is costly and unsustainable. Alternatives include growing crops and microalgae single cell protein (SCP) using artificial light photosynthesis, which are energy inefficient. Prepackaged food and microalgae food were compared to microbial electrosynthesis of acetic acid (MES-AA).","<p>The current food method in space is launching prepackaged food which is costly and unsustainable. Alternatives include growing crops and microalgae single cell protein (<span class=""caps"">SCP</span>) using artificial light photosynthesis, which are energy inefficient. Prepackaged food and microalgae food were compared to microbial electrosynthesis of acetic acid (<span class=""caps"">MES</span>-<span class=""caps"">AA</span>). Since the dominant cost of a space mission is the cost of launching mass, components of a system were converted to an equivalent mass, including power, heat rejection, and volume. Three-year roundtrip crewed missions were evaluated for the International Space Station, the Moon, and Mars. The average Equivalent System Mass (<span class=""caps"">ESM</span>) of <span class=""caps"">MES</span>-<span class=""caps"">AA</span> is 1.38x and 2.84x lower than prepackaged food and microalgae <span class=""caps"">SCP</span>, respectively. The expected electricity-to-calorie conversion efficiency of <span class=""caps"">MES</span>-<span class=""caps"">AA</span> is 19.8 %, consuming 3.45 kW to fully feed five astronauts; diets would realistically include multiple foods. <span class=""caps"">MES</span>-<span class=""caps"">AA</span> has a higher energy efficiency than any currently investigated resilient food in space. <span class=""caps"">MES</span>-<span class=""caps"">AA</span> can provide diet diversity at a lower cost than customarily storing prepackaged food or growing crops in space. Producing food while contributing to closed loop life support in space can contribute to reducing global catastrophic risk and is relevant in off-grid communities, like in rural&nbsp;Alaska.</p>",11231,,https://www.sciencedirect.com/science/article/pii/S1567539422002717,"Academic Research"
"Meat protein alternatives: Opportunities and challenges for food systems’ transformation",2022-12-08T14:04:19-0500,,/research/meat-protein-alternatives-opportunities-and-challenges-food-systems-transformation,,,"Cell-Based, Plant-Based, Insect",Meat,"Business, Environment, Policy",International,,,"Meat alternatives are attracting private investment and interest from the research community as possible solutions to meet the growing global demand for proteins in a sustainable, ethical, and healthy way. Using a food systems lens, this report investigates the opportunities and challenges associated with three meat alternatives: plant-based, insects and cultured meat. The analysis is based primarily on a literature review, which is complemented by an illustrative scenario using the OECD-FAO Aglink-Cosimo model.","<p>Meat alternatives are attracting private investment and interest from the research community as possible solutions to meet the growing global demand for proteins in a sustainable, ethical, and healthy way. Using a food systems lens, this report investigates the opportunities and challenges associated with three meat alternatives: plant-based, insects and cultured meat. The analysis is based primarily on a literature review, which is complemented by an illustrative scenario using the OECD-FAO Aglink-Cosimo model. Results from the scenario analysis suggest that a shift from meat to meat alternatives in high and upper middle-income countries could result in a decline in global agricultural land use and GHG emissions from the agriculture, forestry, and other land use sector. Lower demand for meats in these countries would also lead to a decrease in international prices for meats, soybean and cereals, which would benefit consumers but place pressure on farmer incomes.</p>",11210,,https://www.oecd-ilibrary.org/agriculture-and-food/meat-protein-alternatives_387d30cf-en,"Academic Research"
"Environmental impacts along food supply chains",2022-12-08T13:59:51-0500,,/research/environmental-impacts-along-food-supply-chains,,,Animal,"Meat, Dairy",Environment,International,,,"Food systems exert major pressures on the environment. This paper reviews what is known and not known about environmental impacts along food supply chains, looking at the contribution of different stages of the supply chain, the impact of different products, heterogeneity among producers, and the role of international trade. This review shows that most environmental impacts in food supply chains occur through land use change or at the stage of agricultural production. Livestock (especially ruminant livestock) has a higher footprint than plant-based food.","<p>Food systems exert major pressures on the environment. This paper reviews what is known and not known about environmental impacts along food supply chains, looking at the contribution of different stages of the supply chain, the impact of different products, heterogeneity among producers, and the role of international trade. This review shows that most environmental impacts in food supply chains occur through land use change or at the stage of agricultural production. Livestock (especially ruminant livestock) has a higher footprint than plant-based food. However, there is also important heterogeneity among producers, even within the same region. A significant share of total environmental impacts is ""embodied"" in international trade, although considerably less than half. In terms of evidence gaps, some impacts (e.g. biodiversity, soil carbon) have been less studied, and there are geographic and product blind spots. Moreover, existing evidence is not sufficiently granular. While important evidence gaps thus exist, the overall picture that emerges is one of a rapidly growing evidence base, which can inform innovative supply chain initiatives to reduce impacts.</p>",11209,,https://www.oecd-ilibrary.org/agriculture-and-food/environmental-impacts-along-food-supply-chains_48232173-en,"Academic Research"
"Cultured meat: creative solutions for a cell biological problem",2022-11-16T10:38:23-0500,,/research/cultured-meat-creative-solutions-cell-biological-problem,,,Cell-Based,Meat,Sci-Tech,International,,,"Cultured meat is an emerging technology that could address environmental, health, and animal welfare concerns associated with meat production. Development of cultured meat represents an exciting challenge for cell biologists and engineers, but it requires effective, open approaches for knowledge sharing to establish a fertile scientific field alongside a competitive&nbsp;industry.","<p>Cultured meat is an emerging technology that could address environmental, health, and animal welfare concerns associated with meat production. Development of cultured meat represents an exciting challenge for cell biologists and engineers, but it requires effective, open approaches for knowledge sharing to establish a fertile scientific field alongside a competitive&nbsp;industry.</p>",11192,,https://www.sciencedirect.com/science/article/abs/pii/S0962892422002331,"Academic Research"
"Oceans and Biodiversity Impact: Phase 2 Sustainable Aquafeed Engagement Update and FAIRR’s Action on Fisheries",2022-11-08T04:55:32-0500,,/research/oceans-and-biodiversity-impact-phase-2-sustainable-aquafeed-engagement-update-and-fairrs,https://www.proteinreport.org/sites/default/files/2022-11/aquaculture.jpg,,Animal,"Seafood, Feed","Business, Environment",Asia,,,"This report is the latest update on FAIRR’s global investor engagement on sustainable aquaculture, which aims to encourage the world’s largest salmon companies to develop a strategic, science-based approach to diversifying feed ingredient sources. The ultimate goal of the engagement is to better manage ESG risks associated with sourcing wild forage fish and soy.","<p>This report is the latest update on FAIRR’s global investor engagement on <a href=""https://www.fairr.org/engagements/sustainable-aquaculture-engagement/"">sustainable aquaculture</a>, which aims to encourage the world’s largest salmon companies to develop a strategic, science-based approach to diversifying feed ingredient sources. The ultimate goal of the engagement is to better manage ESG risks associated with sourcing wild forage fish and soy.</p>",11185,"report cover",https://www.fairr.org/article/oceans-and-biodiversity-impact,"Industry Report"
"Recombinant production of growth factors for application in cell culture",2022-09-20T12:37:15-0400,,/research/recombinant-production-growth-factors-application-cell-culture-0,,,"Cell-Based, Microbial","Meat, Ingredients, Cell Culture Media",Sci-Tech,International,,,"Culturing eukaryotic cells has widespread applications in research and industry, including the emerging field of cell-cultured meat production colloquially referred to as “cellular agriculture”. These applications are often restricted by the high cost of growth medium necessary for cell growth. Mitogenic protein growth factors (GFs) are essential components of growth medium and account for upwards of 90% of the total costs.","<p>Culturing eukaryotic cells has widespread applications in research and industry, including the emerging field of cell-cultured meat production colloquially referred to as “cellular agriculture”. These applications are often restricted by the high cost of growth medium necessary for cell growth. Mitogenic protein growth factors (GFs) are essential components of growth medium and account for upwards of 90% of the total costs. Here, we present a set of expression constructs and a simplified protocol for recombinant production of functionally active GFs, including FGF2, IGF1, PDGF-BB, and TGF-β1 in <em>Escherichia coli</em>. Using this <em>E. coli</em> expression system, we produced soluble GF orthologs from species including bovine, chicken, and salmon. Bioactivity analysis revealed orthologs with improved performance compared to commercially available alternatives. We estimated that the production cost of GFs using our methodology will significantly reduce the cost of cell culture medium, facilitating low-cost protocols tailored for cultured meat production and tissue engineering.</p>",11152,,https://www.cell.com/iscience/fulltext/S2589-0042(22)01326-8,"Academic Research"
"Dual-Crosslinked Alginate-Based Hydrogels with Tunable Mechanical Properties for Cultured Meat",2022-09-13T13:12:31-0400,,/research/dual-crosslinked-alginate-based-hydrogels-tunable-mechanical-properties-cultured-meat,,,"Cell-Based, Algae","Meat, Ingredients, Scaffolding &amp; Structure",Sci-Tech,"US &amp; Canada",,,"Cultured meat refers to the production of animal tissue by utilizing the same techniques as tissue engineering through cell culture. Various biomaterials have been designed to serve as in vitro supports for cell viability, growth, and migration. In this study, visible light and dual-crosslinked alginate hydrogels were designed to enable control of the physical and mechanical properties needed for the fabrication of cultured meat scaffolds.","<p>Cultured meat refers to the production of animal tissue by utilizing the same techniques as tissue engineering through cell culture. Various biomaterials have been designed to serve as in vitro supports for cell viability, growth, and migration. In this study, visible light and dual-crosslinked alginate hydrogels were designed to enable control of the physical and mechanical properties needed for the fabrication of cultured meat scaffolds. We hypothesized that a difference in hydrogel stiffness would influence cell behavior, indicating the efficacy of our processing methods to benefit the cultured meat field. Herein, we synthesized and created: (1) methacrylated alginate (AlgMA) to enable covalent crosslinking via visible light exposure, (2) Methacrylated alginate and arginyl-glycyl-aspartic acid <span class=""caps"">RGD</span> conjugates (AlgMA-<span class=""caps"">RGD</span>), using carbodiimide chemistries to provide cell-binding sites on the material, and (3) designer hydrogels incorporating different crosslinking techniques. The material and mechanical properties were evaluated to determine the structural integrity of the hydrogels, and in vitro cell assays were conducted to verify cytocompatibility and cell adhesion. Gelation, swell ratio, and weight loss calculations revealed longer gelation times for the AlgMA scaffolds and similar physical properties for all hydrogel groups. We showed that by adjusting the polymer concentration and the crosslinking methodology, the scaffold’s mechanical properties can be controlled and optimized within physiological ranges. Incorporating dual crosslinking significantly increased the compressive moduli of the AlgMA hydrogels, compared to visible-light crosslinking alone. Moreover, the muscle satellite cells responded favorably to the AlgMA scaffolds, with clear differences in cell density when cultured on materials with significantly different mechanical properties. Our results indicate the usefulness of the dual-crosslinking alginate hydrogel system to support in vitro meat&nbsp;growth.</p>",11150,,https://www.mdpi.com/2304-8158/11/18/2829,"Academic Research"
"A Beefy-R culture medium: replacing albumin with rapeseed protein isolates",2022-09-07T07:58:08-0400,,/research/beefy-r-culture-medium-replacing-albumin-rapeseed-protein-isolates,,,Cell-Based,"Meat, Ingredients, Cell Culture Media",Sci-Tech,"International, US &amp; Canada",,,"The development of cost-effective serum-free media is essential for the economic viability of cultured meat. A key challenge facing this goal is high-cost recombinant albumin that is necessary in some available serum-free media formulations. As such, there is substantial interest in finding albumin alternatives which are low-cost, effective, scalable, sustainable, and suitable for food applications.","<p>The development of cost-effective serum-free media is essential for the economic viability of cultured meat. A key challenge facing this goal is high-cost recombinant albumin that is necessary in some available serum-free media formulations. As such, there is substantial interest in finding albumin alternatives which are low-cost, effective, scalable, sustainable, and suitable for food applications. Recently, a serum-free medium termed Beefy-9 was developed for bovine satellite cells (<span class=""caps"">BSC</span>s), which relied on recombinant albumin as a key component to replace fetal bovine serum. Here we alter Beefy-9 by replacing albumin with rapeseed protein isolate, a bulk-protein solution obtained from agricultural waste-streams through simple isoelectric protein precipitation. This new medium, termed Beefy-R, improves <span class=""caps"">BSC</span> growth compared with Beefy-9 while maintaining cell phenotype and myogenicity. These results offer an effective, low-cost, and sustainable alternative to albumin for serum-free culture of muscle stem cells, thereby addressing a key hurdle facing cultured meat&nbsp;production.</p>",11145,,https://www.biorxiv.org/content/10.1101/2022.09.02.506409v1,"Academic Research"
"Cellular Agriculture - An Opportunity to Diversify Australia’s Food System",2022-08-24T03:10:35-0400,,/research/cellular-agriculture-opportunity-diversify-australias-food-system,https://www.proteinreport.org/sites/default/files/2022-08/caa_white_paper.JPG,,"Cell-Based, Microbial","Meat, Dairy, Eggs, Seafood, Ingredients","Business, Policy",Oceania,,,"Australia has an opportunity to tap into a global protein market worth US$930 billion by 2035 by investing and scaling up its cellular agriculture capability, a new report has found. The first assessment of the field’s potential in Australia is outlined in a white paper released by Cellular Agriculture Australia, that shows the country is well placed to be a global player in this game-changing technology.","<p>Australia has an opportunity to tap into a global protein market worth US$930 billion by 2035 by investing and scaling up its cellular agriculture capability, a new report has found. The first assessment of the field’s potential in Australia is outlined in a white paper released by Cellular Agriculture Australia, that shows the country is well placed to be a global player in this game-changing technology.</p>",11131,"caa white paper cover",https://cellularagricultureaustralia.org/advocacy/,"Industry Report"
"The Untapped Climate Opportunity in Alternative Proteins",2022-08-10T02:42:42-0400,,/research/untapped-climate-opportunity-alternative-proteins,https://www.proteinreport.org/sites/default/files/2022-08/reportcover.JPG,,"Cell-Based, Plant-Based, Microbial","Meat, Dairy, Eggs, Seafood, Ingredients","Business, Environment",International,,,"BCG's latest research shows that consumers are embracing alternative proteins and that protein transformation is one of the best tools available to combat the climate crisis.","<p>BCG's latest research shows that consumers are embracing alternative proteins and that protein transformation is one of the best tools available to combat the climate crisis.</p>",11123,"bcg report cover",https://www.bcg.com/publications/2022/combating-climate-crisis-with-alternative-protein,"Industry Report"
"Bioengineered Lab-Grown Meat-like Constructs through 3D Bioprinting of Antioxidative Protein Hydrolysates",2022-08-05T10:42:38-0400,,/research/bioengineered-lab-grown-meat-constructs-through-3d-bioprinting-antioxidative-protein,,,Cell-Based,Meat,Sci-Tech,International,,,"Lab-grown bovine meat analogues are emerging alternatives to animal sacrifices for cultured meat production. The most challenging aspect of the production process is the rapid proliferation of cells and establishment of the desired 3D structure for mass production.","<p>Lab-grown bovine meat analogues are emerging alternatives to animal sacrifices for cultured meat production. The most challenging aspect of the production process is the rapid proliferation of cells and establishment of the desired 3D structure for mass production. In this study, we developed a direct ink writing-based 3D-bioprinted meat culture platform composed of 6% (w/v) alginate and 4% (w/v) gelatin (Alg/Gel)-based hydrogel scaffolds supplemented with naturally derived protein hydrolysates (PHs; 10%) from highly nutritive plants (soybean, pigeon pea, and wheat), and some selected edible insects (beetles, crickets, and mealworms) on in vitro proliferation of bovine myosatellite cells (bMSCs) extracted from fresh meat samples. The developed bioink exhibited excellent shear-thinning behavior (<em>n</em> &lt; 1) and mechanical stability during 3D bioprinting. Commercial proteases (Alcalase, Neutrase, and Flavourzyme) were used for protein hydrolysis. The resulting hydrolysates exhibited lower-molecular-weight bands (12–50 kDa) than those of crude isolates (55–160 kDa), as determined by sodium dodecyl sulfate-polyacrylamide gel electrophoresis. The degree of hydrolysis was higher in the presence of Alcalase for both plant (34%) and insect (62%) PHs than other enzymes. The 3D-printed hydrogel scaffolds displayed excellent bioactivity and stability after 7 days of incubation. The developed prototype structure (pepperoni meat, 20 × 20 × 5 mm) provided a highly stable, nutritious, and mechanically strong structure that supported the rapid proliferation of myoblasts in a low-serum environment during the entire culture period. The 2,2-diphenyl-1-picrylhydrazyl radical scavenging assay enhanced the free radical reduction of Alcalase- and Neutrase-treated PHs. Furthermore, the bioprinted bMSCs displayed early myogenesis (desmin and Pax7) in the presence of PHs, suggesting its role in bMSC differentiation. In conclusion, we developed a 3D bioprinted and bioactive meat culture platform using Alg/Gel/PHs as a printable and edible component for the mass production of cultured meat.</p>",11120,,https://pubs.acs.org/doi/abs/10.1021/acsami.2c10620,"Academic Research"
