title,website,date,contributors,slug,images,proteins,products,business,finance_type,regions,location,description,body,ID,image_caption,crunchbase,facebook,instagram,linkedin,twitter,youtube,country,city,country_code,founded,founders
"Adamo Foods",https://www.adamofoods.com/,2022-09-28T12:53:43-0400,,/directory/adamo-foods,https://www.proteinreport.org/sites/default/files/2022-09/Adamo%20logo%20-%20transparent.png,Fungi,Meat,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Brompton Road 220</span><br>
<span class=""locality"">London</span><br>
<span class=""postal-code"">SW3 2BB</span><br>
<span class=""country"">United Kingdom</span></p>","Adamo Foods is a food-technology company, developing the most innovative alternatives to meat whole-cuts. We’re launching the world’s first sustainable, yet delicious steak, entirely made from fungi.","<p>Adamo Foods is a food-technology company, developing the most innovative alternatives to meat whole-cuts. We’re launching the world’s first sustainable, yet delicious steak, entirely made from fungi.</p>",11159,,,https://www.facebook.com/adamofood,https://www.instagram.com/adamo.foods,https://www.linkedin.com/company/adamo-foods,https://twitter.com/AdamoFoods,,"United Kingdom",London,GB,2022,"Pierre Dupuis"
"Boston Bioworks",https://bostonbioworks.com/,2022-09-21T09:47:37-0400,,/directory/boston-bioworks,https://www.proteinreport.org/sites/default/files/2022-09/1655927528912.jpg,Microbial,Ingredients,"Production, Research",,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">City Hall Square 2</span><br>
<span class=""locality"">Boston</span>, <span class=""administrative-area"">Massachusetts</span> <span class=""postal-code"">02203</span><br>
<span class=""country"">United States</span></p>","We are a service provider company that is helping fermentation-based food ingredient / alternative protein companies ferment at scale. Founded by industry leaders with decades of experience in precision fermentation / bioprocess and commercial expertise, our vision is to remove the capacity and knowledge bottlenecks experienced within the global food industry.","<p>We are a service provider company that is helping fermentation-based food ingredient / alternative protein companies ferment at scale. Founded by industry leaders with decades of experience in precision fermentation / bioprocess and commercial expertise, our vision is to remove the capacity and knowledge bottlenecks experienced within the global food industry.</p>",11153,,,,,https://www.linkedin.com/company/boston-bioworks,,,"United States",Boston,US,2022,"Michael Tai, Mert Sahin, Ted Netland"
Nutropy,https://nutropy.com/,2022-09-08T09:58:10-0400,,/directory/nutropy,https://www.proteinreport.org/sites/default/files/2022-09/Nutropy_logo-BLUE-1536x247.png,Microbial,Dairy,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Autoroute du Soleil</span><br>
<span class=""postal-code"">91080</span> <span class=""locality"">Évry-Courcouronnes</span><br>
<span class=""country"">France</span></p>","Nutropy is creating the next generation of animal-free dairy, starting with cheese. The company was founded in Paris by Nathalie Rolland and Maya Bendifallah, PhD, mission-driven alternative protein pioneers and technology specialists who are dedicated to providing consumers with what we know and love in cheese - flavor, texture, melt - through a more sustainable and animal-friendly process than traditional dairy. Nutropy leverages innovative precision fermentation technology and ancestral savoir-faire to create distinct animal-free dairy products, with a French touch.","<p>Nutropy is creating the next generation of animal-free dairy, starting with cheese. The company was founded in Paris by Nathalie Rolland and Maya Bendifallah, PhD, mission-driven alternative protein pioneers and technology specialists who are dedicated to providing consumers with what we know and love in cheese - flavor, texture, melt - through a more sustainable and animal-friendly process than traditional dairy. Nutropy leverages innovative precision fermentation technology and ancestral savoir-faire to create distinct animal-free dairy products, with a French touch.</p>",11147,,,,,https://www.linkedin.com/company/nutropy,,,France,Évry-Courcouronnes,FR,2022,"Nathalie Rolland, Maya Bendifallah"
"Tufts University Center for Cellular Agriculture",https://cellularagriculture.tufts.edu/,2022-09-07T06:27:30-0400,,/directory/tufts-university-center-cellular-agriculture,https://www.proteinreport.org/sites/default/files/2022-09/640px-Tufts_University_wordmark.svg.png,"Cell-Based, Microbial",,"Research, Nonprofit",,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">College Avenue 200</span><br>
<span class=""locality"">Medford</span>, <span class=""administrative-area"">Massachusetts</span> <span class=""postal-code"">02155</span><br>
<span class=""country"">United States</span></p>","Tufts University has established the Center for Cellular Agriculture to accelerate cellular agriculture research. We plan to work closely with students and faculty across disciplines within our ecosystem at Tufts, as well as with other universities and colleges and with industry and regulators, to foster the growth of this burgeoning industry. We aim to provide a solid scientific foundation via published, peer-reviewed data, bring innovation in technology, provide consistency in quality measures to guide the field, and foster workforce development and broader educational impact.","<p>Tufts University has established the Center for Cellular Agriculture to accelerate cellular agriculture research. We plan to work closely with students and faculty across disciplines within our ecosystem at Tufts, as well as with other universities and colleges and with industry and regulators, to foster the growth of this burgeoning industry. We aim to provide a solid scientific foundation via published, peer-reviewed data, bring innovation in technology, provide consistency in quality measures to guide the field, and foster workforce development and broader educational impact.</p>",11144,,,,,,,,"United States",Medford,US,2021,"David Kaplan"
"Aliga Microalgae",https://www.aliga.dk/,2022-09-07T04:54:29-0400,,/directory/aliga-microalgae,https://www.proteinreport.org/sites/default/files/2022-09/Aliga_logo_mail_NY_4.jpg,Algae,Ingredients,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Vandværksvej 12</span><br>
<span class=""postal-code"">9800</span> <span class=""locality"">Hjørring</span><br>
<span class=""country"">Denmark</span></p>","Aliga Microalgae is a Danish food-tech company specialising in developing, producing and commercialising protein-rich and functional Chlorella algae ingredients for food and supplement applications. Currently, it is the only industrial producer of Chlorella microalgae in Scandinavia. The company has developed a proprietary white Chlorella ingredients with improved organoleptic properties.","<p>Aliga Microalgae is a Danish food-tech company specialising in developing, producing and commercialising protein-rich and functional Chlorella algae ingredients for food and supplement applications. Currently, it is the only industrial producer of Chlorella microalgae in Scandinavia. The company has developed a proprietary white Chlorella ingredients with improved organoleptic properties. This innovative ingredient is a non-GMO superfood that only consists of fermented and dried Chlorella algae which makes it highly applicable in a broad variety of formulations, from meat &amp; seafood analogues to savory, bakery, and animal-free dairy products.</p>",11143,,https://www.crunchbase.com/organization/aliga-microalgae,https://www.facebook.com/aligamicroalgae/,https://www.instagram.com/aligaaqtive/,https://www.linkedin.com/company/aliga-microalgae,https://twitter.com/AligaMicroalgae,,Denmark,Hjørring,DK,2016,"David Erlandsson"
"ProteiQ Biosciences",https://www.proteiq.com/,2022-08-02T12:08:47-0400,,/directory/proteiq-biosciences,https://www.proteinreport.org/sites/default/files/2022-08/pq.jpg,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Research,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Am Mühlenberg 11</span><br>
<span class=""postal-code"">14476</span> <span class=""locality"">Potsdam</span><br>
<span class=""country"">Germany</span></p>","ProteiQ is a Potsdam based Life Science company with the focus on next generation LC-MS proteomics, providing research service for discovery and validation of novel biomarkers.","<p>ProteiQ is a Potsdam based Life Science company with the focus on next generation LC-MS proteomics, providing research service for discovery and validation of novel biomarkers.</p>",11116,,https://www.crunchbase.com/organization/proteiq-biosciences,,,https://www.linkedin.com/company/proteiq,https://twitter.com/ProteiQ_B,,Germany,Potsdam,DE,2016,"Arnoud Groen, Artyom Pugachev, Vadim Demichev"
"Biobritte Agro Solutions",https://www.biobritte.co.in,2022-07-01T09:02:05-0400,,/directory/biobritte-agro-solutions,https://www.proteinreport.org/sites/default/files/2022-07/biobritte%20logo.png,Fungi,Ingredients,Production,,Asia,"<p class=""address"" translate=""no""><span class=""locality"">Jainapur</span> <span class=""postal-code"">416101</span><br>
<span class=""administrative-area"">Maharashtra</span><br>
<span class=""country"">India</span></p>","Biobritte agro is fungi protein-based company. Biobritte is working on a fungi-based protein that can replace meat-based proteins. Biobritte grows different medicinal mushrooms. Biobritte was established in 2018 and became India&#039;s top mushroom company in a little span of time.","<p>Biobritte agro is fungi protein-based company. Biobritte is working on a fungi-based protein that can replace meat-based proteins. Biobritte grows different medicinal mushrooms. Biobritte was established in 2018 and became India&#039;s top mushroom company in a little span of time.</p>",11053,,https://www.crunchbase.com/organization/biobritte-agro-solutions-private-limited-india,https://www.facebook.com/biobritte.kolhapur/,https://www.instagram.com/biobritte2018/,https://www.linkedin.com/company/biobritte-agro-solutions-private-limited,https://twitter.com/biobritte2018,https://www.youtube.com/channel/UCFnb6NT78CZRLdyzP53lZ_g,India,Jainapur,IN,2018,"Parimal Ramesh Udgave"
Newlab,https://newlab.com/,2022-06-09T05:27:47-0400,,/directory/newlab,https://www.proteinreport.org/sites/default/files/2022-06/newlab.jpg,,,Finance,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">Morris Avenue 19</span><br>
<span class=""administrative-area"">New York</span> <span class=""postal-code"">11205</span><br>
<span class=""country"">United States</span></p>","From the selection of Founders in Residence, to headhunting CEOs or acting as the founding team ourselves, we build curated teams of people who are passionate, talented and have the experience to scale up, not just startup. We‘re also proud to provide stipends and early funding to ensure that working on an early-stage startup is an accessible option to people from all walks of life, resulting in more diverse, successful teams.","<p>From the selection of Founders in Residence, to headhunting CEOs or acting as the founding team ourselves, we build curated teams of people who are passionate, talented and have the experience to scale up, not just startup. We‘re also proud to provide stipends and early funding to ensure that working on an early-stage startup is an accessible option to people from all walks of life, resulting in more diverse, successful teams.</p>",10975,,https://www.crunchbase.com/organization/new-lab,https://www.facebook.com/NewLabNavyYard,https://www.instagram.com/newlab/,https://www.linkedin.com/company/newlabnyc,https://twitter.com/newlab,https://www.youtube.com/channel/UCF-cEdQu7n64PpmFEGjE7Dg,"United States",,US,2016,
"Eatable Adventures",https://eatableadventures.com/,2022-06-08T05:07:34-0400,,/directory/eatable-adventures,https://www.proteinreport.org/sites/default/files/2022-06/ea.png,,,Finance,Accelerator,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Calle Saturnino Calleja 16</span><br>
<span class=""postal-code"">28002</span> <span class=""locality"">Madrid</span> <span class=""administrative-area"">Comunidad de Madrid</span><br>
<span class=""country"">Spain</span></p>","Eatable Adventures connects the most disruptive food startups with corporations and investors, developing the right collaborations with a mission: building tomorrow&#039;s food companies.","<p>Eatable Adventures connects the most disruptive food startups with corporations and investors, developing the right collaborations with a mission: building tomorrow&#039;s food companies.</p>",10963,,https://www.crunchbase.com/organization/eatable-adventures,,https://www.instagram.com/eatableadventures/,https://www.linkedin.com/company/eatable-adventures,https://twitter.com/eatableadv,https://www.youtube.com/channel/UCxyxo631eMuE5rqiW90Yvjw,Spain,Madrid,ES,2015,"José Luis Cabañero"
Brevel,https://brevel.co.il/,2022-05-26T12:29:52-0400,,/directory/brevel,https://www.proteinreport.org/sites/default/files/2022-05/Brevel-LOGO.png,Algae,Ingredients,Production,,"Middle East","<p class=""address"" translate=""no""><span class=""locality"">Lachish</span><br>
<span class=""country"">Israel</span></p>","Providing sustainable protein for a better future on this planet. Brevel&#039;s unique microalgae based protein is flavor and color neutral, has a full amino-acid profile, is highly functional and is affordable for the food industry. Thanks to our breakthrough technology, we introduce a paradigm shift to the microalgae and the plant based protein industries.","<p>Providing sustainable protein for a better future on this planet. Brevel&#039;s unique microalgae based protein is flavor and color neutral, has a full amino-acid profile, is highly functional and is affordable for the food industry. Thanks to our breakthrough technology, we introduce a paradigm shift to the microalgae and the plant based protein industries.</p>",10918,,https://www.crunchbase.com/organization/brevel,,,https://www.linkedin.com/company/brevel,,,Israel,Lachish,IL,2017,"Yonatan Golan, Ido Golan, Matan Golan"
Mewery,https://www.mewery.io/,2022-05-25T03:04:47-0400,,/directory/mewery,https://www.proteinreport.org/sites/default/files/2022-05/2h1JT-9m_400x400.jpg,Cell-Based,Meat,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Moravské náměstí 13</span><br>
<span class=""postal-code"">602 00</span><br>
<span class=""country"">Czechia</span></p>","Mewery is the first European foodtech startup developing cultivated pork on microalgae base. Thanks to Mewery, people all over Europe, Asia and further will be able to enjoy real pork meat, juicy and healthy, but with one huge difference: without having to kill a single pig or harming the planet. Mewery is using their own hybrid culture medium with microalgae extracts and developing 3D structures on microalgae scaffolds.","<p>Mewery is the first European foodtech startup developing cultivated pork on microalgae base. Thanks to Mewery, people all over Europe, Asia and further will be able to enjoy real pork meat, juicy and healthy, but with one huge difference: without having to kill a single pig or harming the planet. Mewery is using their own hybrid culture medium with microalgae extracts and developing 3D structures on microalgae scaffolds.</p>",10908,,,,,https://www.linkedin.com/company/mewery,https://twitter.com/mewery1,,Czechia,,CZ,2020,"Roman Laus"
"Cultivate Tomorrow",https://www.cultivate-tmrw.com,2022-04-15T05:30:51-0400,,/directory/cultivate-tomorrow,https://www.proteinreport.org/sites/default/files/2022-04/ctlogo.jpg,"Cell-Based, Microbial",,Nonprofit,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">City Hall Square 2</span><br>
<span class=""locality"">Boston</span>, <span class=""administrative-area"">Massachusetts</span> <span class=""postal-code"">02203</span><br>
<span class=""country"">United States</span></p>","Cultivate Tomorrow is the first US hackathon focused solely on cellular agriculture and cell cultured food. This hackathon will work to lower the barrier to enter the cell cultured food industry for STEM and non-STEM individuals. We will create a large network and community of diverse individuals with different backgrounds, skills, and interests. Together we will brainstorm, innovate, and re-imagine the future of food.","<p>Cultivate Tomorrow is the first US hackathon focused solely on cellular agriculture and cell cultured food. This hackathon will work to lower the barrier to enter the cell cultured food industry for STEM and non-STEM individuals. We will create a large network and community of diverse individuals with different backgrounds, skills, and interests. Together we will brainstorm, innovate, and re-imagine the future of food.</p>
<p>This event is open to all undergraduate and graduate students across the US who are interested in becoming more immersed in this field. We believe that only through cross-collaboration will this industry succeed in redefining the food system and allocation of our planet&#039;s natural resources.</p>",10728,,,,https://www.instagram.com/cultivate.tomorrow/,https://www.linkedin.com/company/cultivate-tomorrow/,https://twitter.com/CellagHackathon,,"United States",Boston,US,2021,"Jasmin Kern"
