title,website,date,contributors,slug,images,banner_image,proteins,products,topics,regions,description,body,start_date,end_date,online,country,city,ID,image_caption
"SynBioBeta 2023",https://www.synbiobeta.com/,2022-12-16T04:27:38-0500,NL,/events/synbiobeta-2023,https://www.proteinreport.org/sites/default/files/2022-12/sbb.png,https://www.proteinreport.org/sites/default/files/2022-12/sbbban.jpg,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients","Business, Sci-Tech","US &amp; Canada","SynBioBeta is the premier innovation network for biological engineers, innovators, entrepreneurs, and investors who share a passion for using biology to build a better, more sustainable planet. The Global Synthetic Biology Summit showcases the cutting-edge developments in biology that are transforming how we fuel, heal, and feed the world.","<p>SynBioBeta is the premier innovation network for biological engineers, innovators, entrepreneurs, and investors who share a passion for using biology to build a better, more sustainable planet. The Global Synthetic Biology Summit showcases the cutting-edge developments in biology that are transforming how we fuel, heal, and feed the world.</p>",2023-05-23,2023-05-25,False,"United States",Oakland,11219,
"Food Innovation &amp; Investment Summit",https://hubs.ly/Q01BcVjj0,2022-12-16T04:17:32-0500,NL,/events/food-innovation-investment-summit-0,https://www.proteinreport.org/sites/default/files/2022-12/fiis.png,https://www.proteinreport.org/sites/default/files/2023-02/159.2%20FIIS.jpg,"Cell-Based, Plant-Based, Microbial","Meat, Dairy, Eggs, Seafood, Ingredients",Business,"US &amp; Canada","The Food Innovation &amp; Investment Summit 2022 explored key themes and trends such as plant-based food products with cleaner ingredients, sustainable foods and solutions to tackle food waste and extending shelf life, ‘food as medicine’, and the importance of collaboration and partnership to bring innovations to scale and make real impact on our food system.","<p>The Food Innovation &amp; Investment Summit 2022 explored key themes and trends such as plant-based food products with cleaner ingredients, sustainable foods and solutions to tackle food waste and extending shelf life, ‘food as medicine’, and the importance of collaboration and partnership to bring innovations to scale and make real impact on our food system.</p>
<p><strong>We're excited to announce that the 2023 </strong><strong>Food Innovation &amp; Investment Summit dates will be May 23-24.</strong> Join us to discover how these trends have evolved throughout the year and explore the newest innovations that are working towards building a healthier and more sustainable food system!</p>",2023-05-23,2023-05-24,False,"United States","San Francisco",11217,
"Canada SynBio",https://www.canadasynbio.ca/,2022-12-16T04:00:49-0500,NL,/events/canada-synbio,https://www.proteinreport.org/sites/default/files/2022-12/csb.jpg,https://www.proteinreport.org/sites/default/files/2022-12/csbbann.jpg,"Cell-Based, Microbial","Meat, Dairy, Eggs, Seafood, Ingredients","Business, Sci-Tech","US &amp; Canada","Canada SynBio is back for its fifth anniversary edition that will take place in-person in Toronto, Canada June 13-15, 2023.","<h6>Canada SynBio is back for its fifth anniversary edition that will take place in-person in Toronto, Canada June 13-15, 2023.</h6>",2023-06-13,2023-06-15,False,Canada,Toronto,11216,
"Future Food Asia",https://futurefoodasia.com/,2022-12-16T03:53:39-0500,NL,/events/future-food-asia,https://www.proteinreport.org/sites/default/files/2022-12/1558482594571.jpg,https://www.proteinreport.org/sites/default/files/2022-12/ffa-2020-goh.jpg,"Cell-Based, Plant-Based, Microbial, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,Asia,"ID Capital, the entity spearheading the development of the Future Food Asia (FFA) platform, is delighted to announce that Dr Ismahane Elouafi, Chief Scientist at the Food and Agriculture Organization of the United Nations (FAO) will be the Guest of Honour at the seventh edition of the FFA Conference, on 17th – 18th of May 2023.
Since its inception in 2017, FFA has acted as a catalyst for collaborations accelerating the work of technology entrepreneurs in the agrifood sector, and a pioneer in the then-nascent agrifoodtech vertical in Asia-Pacific.","<p>ID Capital, the entity spearheading the development of the Future Food Asia (FFA) platform, is delighted to announce that Dr Ismahane Elouafi, Chief Scientist at the Food and Agriculture Organization of the United Nations (FAO) will be the Guest of Honour at the seventh edition of the FFA Conference, on 17th – 18th of May 2023.</p>
<p>Since its inception in 2017, FFA has acted as a catalyst for collaborations accelerating the work of technology entrepreneurs in the agrifood sector, and a pioneer in the then-nascent agrifoodtech vertical in Asia-Pacific.</p>
<p>FFA will also be innovating the conference style and for the first time convene Chief Technology Officers, Chief Sustainability Officers and Investors for exclusive roundtables to identify and accelerate innovations and business models that are most critical to Asia-Pacific, to build a more sustainable and inclusive food future.</p>
<p>This new conference format, along with the well-established FFA Award of US$ 100,000, will combine the vision of leaders in the industry and investors with the energy of start-ups and entrepreneurs. More details will be communicated on the Award as applications open in January 2023.</p>",2023-05-17,2023-05-18,False,Singapore,,11215,
"Future Proteins Conference on Sustainable Processing &amp; Packaging",https://fp-conference.com/,2022-12-16T03:12:04-0500,NL,/events/future-proteins-conference-sustainable-processing-packaging,https://www.proteinreport.org/sites/default/files/2022-12/logo_future_proteins_conference.png,https://www.proteinreport.org/sites/default/files/2022-12/fp_0.jpg,"Cell-Based, Plant-Based, Microbial, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,Europe,"Join us at the first ever Future Proteins Conference on Sustainable Processing &amp; Packaging on February 1-2, 2023.
The two-day event promises to be a unique opportunity to gain valuable insight from esteemed keynote speakers from the field, to network with experts and your peers, and to experience first-hand a wide range of state-of-the-art, sustainable processing and packaging solutions.","<p>Join us at the first ever Future Proteins Conference on Sustainable Processing &amp; Packaging on February 1-2, 2023.</p>
<p>The two-day event promises to be a unique opportunity to gain valuable insight from esteemed keynote speakers from the field, to network with experts and your peers, and to experience first-hand a wide range of state-of-the-art, sustainable processing and packaging solutions.</p>
<p>Join us for a third day (Friday, February 3) and take advantage of one-on-one meetings with experts from the field of processing and packaging. You can also attend guided tours at the Conference’s two hosting companies – MULTIVAC and Handtmann.</p>",2023-02-01,2023-02-02,False,Germany,Wolfertschwenden,11214,
"3rd Annual Plant-Based Foods &amp; Alternative Proteins",https://curtiswyss.com/event/17,2022-12-13T09:24:27-0500,curtiswyssgroup,/events/3rd-annual-plant-based-foods-alternative-proteins,https://www.proteinreport.org/sites/default/files/2022-12/cw.png,,"Cell-Based, Plant-Based","Meat, Dairy, Seafood, Feed",Business,"International, US &amp; Canada","On behalf of Curtis &amp; Wyss Group, it is a pleasure to invite you to participate at the 3nd Annual Plant-Based Foods &amp; Protein Summit scheduled on February 16th-17th, 2023 in San Francisco, USA. This premier B2B event will enable the participants to learn about the latest trends and developments in the plant-based nutrition innovative field. As the key world industries and governmental bodies are constantly seeking for the novel sustainable solutions, the supply &amp; demand for the protein alternative products remain relevant as never before.","<p>On behalf of Curtis &amp; Wyss Group, it is a pleasure to invite you to participate at the 3nd Annual Plant-Based Foods &amp; Protein Summit scheduled on February 16th-17th, 2023 in San Francisco, USA. This premier B2B event will enable the participants to learn about the latest trends and developments in the plant-based nutrition innovative field. As the key world industries and governmental bodies are constantly seeking for the novel sustainable solutions, the supply &amp; demand for the protein alternative products remain relevant as never before.</p>
<p>We are providing a multifunctional platform for the foodservice professionals to discuss and share revolutionary insights as well as to address the recent industry obstacles. It is an honor and privilege to invite you to participate in this Summit. We look forward to welcoming you at the Summit in San Francisco in upcoming February!</p>",2023-02-16,2023-02-17,False,"United States","San Francisco",11212,
"2nd Annual Future Food Summit APAC",http://emnesevents.com/2nd-future-food-summit-apac/,2022-11-08T03:57:49-0500,proteinreport,/events/2nd-annual-future-food-summit-apac,https://www.proteinreport.org/sites/default/files/2022-11/Emnes%202022%20Logo%20Ai%20%281%29.png,https://www.proteinreport.org/sites/default/files/2022-11/v6.jpg,"Cell-Based, Plant-Based, Microbial, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,Asia,"We are happy to announce our upcoming 2nd Annual Future Food Summit APAC that is taking place on 8 - 9 March 2023 at Kuala Lumpur | Hybrid.
This two days summit will gather experts from food tech, agritech and nutrition space, relevant for investors, start-ups and industry players alike.  Two days of insights and discussions focused on critical topics including AgriFood Ecosystem, scaling new proteins, gut health and the microbiome, Breakout session on AgriTech, FoodTech &amp; Alt Protein, Super food, partnership models and investment trends for 2023.","<p>We are happy to announce our upcoming 2nd Annual Future Food Summit APAC that is taking place on 8 - 9 March 2023 at Kuala Lumpur | Hybrid.</p>
<p>This two days summit will gather experts from food tech, agritech and nutrition space, relevant for investors, start-ups and industry players alike.  Two days of insights and discussions focused on critical topics including AgriFood Ecosystem, scaling new proteins, gut health and the microbiome, Breakout session on AgriTech, FoodTech &amp; Alt Protein, Super food, partnership models and investment trends for 2023.</p>
<p>For more info on registration and early bird discounts, visit our website:</p>",2023-03-08,2023-03-09,False,Malaysia,"Kuala Lumpur",11182,
"Future Food-Tech San Francisco",https://futurefoodtechsf.com,2022-11-04T03:14:38-0400,proteinreport,/events/future-food-tech-san-francisco-1,https://www.proteinreport.org/sites/default/files/2022-11/FFT.png,https://www.proteinreport.org/sites/default/files/2022-11/FFSF23%20Graphic%20-%201280x256.jpg,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,"US &amp; Canada","Strengthening Sustainable &amp; Nutritious Food Systems
As the world adjusts to the impacts of climate change, conflict, and a changing economic landscape, securing access to sustainable and nutritious food is more important than ever.","<p><strong>Strengthening Sustainable &amp; Nutritious Food Systems</strong></p>
<p>As the world adjusts to the impacts of climate change, conflict, and a changing economic landscape, securing access to sustainable and nutritious food is more important than ever.</p>
<p>After returning to in-person events last year with a bang, Future Food-Tech is back in the epicentre of innovation, San Francisco, on March 16-17, 2023. The summit has become a global hub, connecting 1600 international food brands, ingredient providers, investors, start-ups and technology leaders, whilst digging into the crucial issues facing the food industry today.</p>
<p>Over the two-day summit, food-tech pioneers and visionaries will discuss innovative approaches to scaling alt-proteins, new formulations for healthier, nutrient packed foods, and commercial opportunities at the intersection of food and medicine.</p>
<p>This year, alongside an action-packed main agenda, expect to see even more ground-breaking innovator action in our new Start-Up Arena, with a front row seat for cooking demos, food tastings, pitching sessions and interactive workshops.</p>
<p>Hundreds of new partnerships will emerge from the summit, as deals are made over delicious plant-based lunches, networking cocktail evenings and a full program of 1-1 meetings.</p>
<p><em>Discover the summit’s key themes:</em></p>
<ul>
<li>Feeding the Future: Strengthening Sustainable Food Systems</li>
<li>Scaling Alternative Proteins: The Recipe for Success</li>
<li>Cell Cultivation: Production Methods Under the Microscope</li>
<li>Food As Medicine: Driving Consumer Awareness</li>
<li>Raising the Bar: Enhancing Nutrition in Plant-Based Foods</li>
<li>Making Waves: Diving into Alt-Seafood Innovation</li>
<li>Food x Health Nexus: Immunity, Cognition &amp; Wellness</li>
<li>Investor Landscape: Downturn Resiliency &amp; Next Phase Funding</li>
<li>2030 Visions: Digging into the Future of Food</li>
<li>The Power of Fungi: Breakthroughs for Health &amp; Medicine</li>
</ul>
<p>Website: <a href=""https://futurefoodtechsf.com/"">https://futurefoodtechsf.com/</a></p>
<p>Registration page: <a href=""https://futurefoodtechsf.com/register/"">https://futurefoodtechsf.com/register/</a></p>
<p>Twitter: <a href=""https://twitter.com/foodtechinvest"">https://twitter.com/foodtechinvest</a></p>
<p>LinkedIn: <a href=""https://www.linkedin.com/showcase/future-food-tech/?viewAsMember=true"">https://www.linkedin.com/showcase/future-food-tech/</a></p>",2023-03-16,2023-03-17,False,"United States","San Francisco",11180,
"Future of Protein Production Summit 2023",https://www.futureofproteinproduction.com/summit,2022-10-19T11:30:16-0400,seb,/events/future-protein-production-summit-2023,https://www.proteinreport.org/sites/default/files/2022-10/PP_SUMMIT_logo_dates.png,https://www.proteinreport.org/sites/default/files/2022-10/Untitled%20design%20%282%29.jpg,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Pet Food, Ingredients, Feed","Business, Environment, Health, Policy, Sci-Tech",International,"The world's online meeting place for accelerating the commercialization of alternative proteins.
The Future of Protein Production Summit is the must-attend virtual event for any company involved in making the global food system more sustainable, kind and fair for the planet, people, and animals.","<p>The world's online meeting place for accelerating the commercialization of alternative proteins.</p>
<p>The Future of Protein Production Summit is the must-attend virtual event for any company involved in making the global food system more sustainable, kind and fair for the planet, people, and animals.</p>
<p>The senior executive-level conference presents an unbiased opportunity to explore and discuss this complex issue with world-leading experts. Discover a wide range of solutions that will have a positive impact through abolishing animal cruelty, reducing global pollution and improving human health.</p>
<p>The online conference presents an unbiased opportunity to explore and discuss this complex issue with world-leading experts. Discover a wide range of solutions that will have a positive impact through abolishing animal cruelty, reducing global pollution, and improving human health.</p>
<p>Stay up-to-date with the most recent solutions, technology, policy, and concepts across the food system. And get the best opportunities to meet key industry contributors.</p>",2023-02-21,2023-02-23,True,,,11171,
"Panel discussion: Innovations in sustainable and plant-based communal catering",https://www.foodsystemchange.org/innovations-in-sustainable-and-plant-based-communal-catering,2022-08-22T12:23:35-0400,lydiakitz,/events/panel-discussion-innovations-sustainable-and-plant-based-communal-catering,https://www.proteinreport.org/sites/default/files/2022-08/Original.png,https://www.proteinreport.org/sites/default/files/2022-08/Banner_%20Innovations%20in%20sustainable%20and%20plant-based%20communal%20catering%20.jpg,Plant-Based,"Meat, Dairy, Eggs, Seafood, Ingredients","Culture, Environment, Policy",Europe,"The first panel discussion of the PlantEurope network is focusing on ""Innovations in sustainable and plant-based community catering"". The promotion of community catering with an increased proportion of seasonal, regional and ecologically friendly, climate-friendly food can contribute significantly to the change of our food system. In the two-hour panel discussion we would like to discuss how plant-based products can have an impact in this specific category and which actors from Europe are setting a good example. ","<p>The first panel discussion of the PlantEurope network is focusing on ""Innovations in sustainable and plant-based community catering"". The promotion of community catering with an increased proportion of seasonal, regional and ecologically friendly, climate-friendly food can contribute significantly to the change of our food system. In the two-hour panel discussion we would like to discuss how plant-based products can have an impact in this specific category and which actors from Europe are setting a good example. </p>",2022-11-14,2022-11-14,True,,,11129,
"Cultivated Meat and Alt Proteins Week Events",https://registration.ucdavis.edu/Item/Details/860,2022-08-09T01:32:04-0400,proteinreport,/events/cultivated-meat-and-alt-proteins-week-events,https://www.proteinreport.org/sites/default/files/2022-08/ucdaviscmc_1.png,https://www.proteinreport.org/sites/default/files/2022-08/biotech-logo_0_0.jpg,Cell-Based,"Meat, Dairy, Eggs, Seafood, Ingredients","Business, Sci-Tech","US &amp; Canada","Monday, September 12, 8:30am-5:00pm PT: Cultured Meat and Alternative Proteins Summit (in-person and virtual attendance options).  Learn more about this cutting-edge field from leaders in academia, government, and private industry who, together, are advancing research and development to break down the barriers to commercialization.
Register here by 9/9/22: https://registration.ucdavis.edu/Item/Details/860","<p><strong>Monday, September 12, 8:30am-5:00pm PT:</strong> <u>Cultured Meat and Alternative Proteins Summit</u> (in-person and virtual attendance options).  Learn more about this cutting-edge field from leaders in academia, government, and private industry who, together, are advancing research and development to break down the barriers to commercialization.</p>
<p>Register here by 9/9/22: <u><a href=""https://registration.ucdavis.edu/Item/Details/860"">https://registration.ucdavis.edu/Item/Details/860</a></u></p>
<p><strong>Tuesday, September 13 - Friday, September 16, 9:00am-12:00pm PT</strong>: <u>“Cultivated Meat 101” Short Course</u> held on Zoom.  This course touch on a range of topics related to the development of cultivated meat and will feature faculty researchers participating in the UC Davis Cultivated Meat Consortium.  Though introductory, this course will provide technical information and will be suitable for new researchers and professional practitioners in the field of cultivated meat.  More information, registration, and course fee info can be found here: <u><a href=""https://ces-apps.ucdavis.edu/confreg/index.cfm?confid=1208&amp;webid=5906"">https://ces-apps.ucdavis.edu/confreg/index.cfm?confid=1208&amp;webid=5906</a></u></p>
<p><strong>Wednesday, September 14, 6:00pm-9:00pm PT:</strong> <u>Cultivated Meat Academic/Industry Networking Mixer</u> held in-person at the UC Davis Robert Mondavi Institute for Wine and Food Science.  Meet and network with world leading cultivated meat academic researchers, visionaries in industry and longstanding supporters of cellular agriculture.  Register here by 9/9/22: <a href=""https://www.eventbrite.com/e/uc-davis-cultivated-meat-consortium-academicindustry-mixer-tickets-390643333727"">https://www.eventbrite.com/e/uc-davis-cultivated-meat-consortium-academicindustry-mixer-tickets-390643333727</a></p>",2022-09-12,2022-09-16,False,"United States",Davis,11121,
